UserName,UserEmail,Gender,BirthYear,ChatID,ChatOrder,Score,Stop
AV,A,NA,NA,4,1,-5,0
local1,local1,Prefer Not To Say,NA,4,1,-5,0
local1,local1,Prefer Not To Say,NA,4,2,-5,0
local1,local1,Prefer Not To Say,NA,4,3,-5,0
local1,local1,Prefer Not To Say,NA,4,4,-4,0
local1,local1,Prefer Not To Say,NA,4,5,-3,0
local1,local1,Prefer Not To Say,NA,4,6,-2,0
local1,local1,Prefer Not To Say,NA,4,7,-1,0
local1,local1,Prefer Not To Say,NA,4,8,0,1
local1,local1,Prefer Not To Say,NA,4,9,1,1
local1,local1,Prefer Not To Say,NA,4,10,2,1
local1,local1,Prefer Not To Say,NA,1,1,-5,0
local1,local1,Prefer Not To Say,NA,1,2,-5,0
local1,local1,Prefer Not To Say,NA,1,3,-5,0
local1,local1,Prefer Not To Say,NA,1,4,-5,0
local1,local1,Prefer Not To Say,NA,1,5,-5,0
local1,local1,Prefer Not To Say,NA,1,6,-5,0
local1,local1,Prefer Not To Say,NA,1,7,-5,0
local1,local1,Prefer Not To Say,NA,1,8,-5,0
local1,local1,Prefer Not To Say,NA,1,9,-5,0
local1,local1,Prefer Not To Say,NA,1,10,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,1,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,1,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,1,-4,0
Test,Test@test.com,Prefer Not To Say,NA,2,1,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,2,-4,0
Test,Test@test.com,Prefer Not To Say,NA,2,3,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,3,-4,0
Test,Test@test.com,Prefer Not To Say,NA,2,4,-3,0
Test,Test@test.com,Prefer Not To Say,NA,2,4,-4,0
Test,Test@test.com,Prefer Not To Say,NA,2,5,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,6,-4,0
Test,Test@test.com,Prefer Not To Say,NA,2,7,-3,0
Test,Test@test.com,Prefer Not To Say,NA,2,8,-5,0
Test,Test@test.com,Prefer Not To Say,NA,2,9,-4,0
Test,Test@test.com,Prefer Not To Say,NA,2,10,-3,0
Test,Test@test.com,Prefer Not To Say,NA,2,11,-5,0
Local1,Local1,Prefer Not To Say,NA,2,1,-5,0
Local1,Local1,Prefer Not To Say,NA,2,2,-4,0
Local1,Local1,Prefer Not To Say,NA,2,3,-2,0
Local1,Local1,Prefer Not To Say,NA,2,4,-1,0
Local1,Local1,Prefer Not To Say,NA,2,5,0,0
Local1,Local1,Prefer Not To Say,NA,2,6,1,0
Local1,Local1,Prefer Not To Say,NA,2,7,2,0
Local1,Local1,Prefer Not To Say,NA,2,8,3,0
Local1,Local1,Prefer Not To Say,NA,2,9,4,0
Local1,Local1,Prefer Not To Say,NA,2,10,5,0
Local1,Local1,Prefer Not To Say,NA,2,11,-5,0
Server01,Server01,Prefer Not To Say,NA,6,1,-5,0
Server01,Server01,Prefer Not To Say,NA,6,2,-5,0
Server01,Server01,Prefer Not To Say,NA,6,3,-5,0
Server01,Server01,Prefer Not To Say,NA,6,4,-5,0
Server01,Server01,Prefer Not To Say,NA,6,5,-5,0
Server01,Server01,Prefer Not To Say,NA,6,6,-5,0
Server01,Server01,Prefer Not To Say,NA,6,7,-5,0
Server01,Server01,Prefer Not To Say,NA,6,8,-5,0
Server01,Server01,Prefer Not To Say,NA,6,9,-5,0
Server01,Server01,Prefer Not To Say,NA,6,10,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,1,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,2,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,3,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,4,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,5,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,6,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,7,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,8,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,9,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,10,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,11,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,12,-5,0
rpro1,rpro1,Prefer Not To Say,NA,9,13,-5,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,1,-5,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,2,-4,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,3,-3,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,4,-2,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,5,-1,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,6,-2,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,7,-3,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,7,-4,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,8,-1,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,8,-2,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,9,-3,0
Shiny1,Shiny2,Prefer Not To Say,NA,8,10,-2,0
aa,a,Prefer Not To Say,NA,4,1,-5,1
aa,a,Prefer Not To Say,NA,4,2,-4,1
aa,a,Prefer Not To Say,NA,4,3,-3,1
aa,a,Prefer Not To Say,NA,4,4,-2,1
aa,a,Prefer Not To Say,NA,4,5,-1,1
aa,a,Prefer Not To Say,NA,4,6,-5,1
aa,a,Prefer Not To Say,NA,4,7,-5,1
aa,a,Prefer Not To Say,NA,4,8,-4,1
aa,a,Prefer Not To Say,NA,4,9,-3,1
aa,a,Prefer Not To Say,NA,4,10,-2,1
pro1,pro1,Prefer Not To Say,NA,4,1,-5,0
pro1,pro1,Prefer Not To Say,NA,4,2,-5,0
pro1,pro1,Prefer Not To Say,NA,4,3,-5,0
pro1,pro1,Prefer Not To Say,NA,4,4,-5,0
pro1,pro1,Prefer Not To Say,NA,4,5,-5,0
pro1,pro1,Prefer Not To Say,NA,4,6,-5,0
pro1,pro1,Prefer Not To Say,NA,4,7,-5,0
pro1,pro1,Prefer Not To Say,NA,4,8,-5,0
pro1,pro1,Prefer Not To Say,NA,4,9,-5,0
pro1,pro1,Prefer Not To Say,NA,4,10,-5,0
rcon,rcon,Prefer Not To Say,NA,8,1,-5,0
rcon,rcon,Prefer Not To Say,NA,8,2,-5,0
rcon,rcon,Prefer Not To Say,NA,8,3,-5,0
rcon,rcon,Prefer Not To Say,NA,8,4,-5,0
rcon,rcon,Prefer Not To Say,NA,8,5,-5,0
rcon,rcon,Prefer Not To Say,NA,8,6,-5,0
rcon,rcon,Prefer Not To Say,NA,8,7,-5,0
rcon,rcon,Prefer Not To Say,NA,8,8,-5,0
rcon,rcon,Prefer Not To Say,NA,8,9,-5,0
rcon,rcon,Prefer Not To Say,NA,8,10,-5,0
Local1,Local1,Prefer Not To Say,NA,7,1,-5,0
Local1,Local1,Prefer Not To Say,NA,7,2,-4,0
Local1,Local1,Prefer Not To Say,NA,7,3,-3,0
Local1,Local1,Prefer Not To Say,NA,7,4,0,0
Local1,Local1,Prefer Not To Say,NA,7,5,1,0
Local1,Local1,Prefer Not To Say,NA,7,6,2,0
Local1,Local1,Prefer Not To Say,NA,7,7,-1,0
Local1,Local1,Prefer Not To Say,NA,7,8,-2,0
Local1,Local1,Prefer Not To Say,NA,7,9,-3,0
Local1,Local1,Prefer Not To Say,NA,7,10,0,0
Local1,Local1,Prefer Not To Say,NA,7,11,5,0
Local1,Local1,Prefer Not To Say,NA,7,12,-4,1
Local`,Local,Prefer Not To Say,NA,4,1,-5,0
Local`,Local,Prefer Not To Say,NA,4,1,-5,0
Local`,Local,Prefer Not To Say,NA,4,2,-5,0
Local`,Local,Prefer Not To Say,NA,4,3,0,0
Local`,Local,Prefer Not To Say,NA,4,4,0,0
Local`,Local,Prefer Not To Say,NA,4,5,0,0
Local`,Local,Prefer Not To Say,NA,4,5,0,0
Local`,Local,Prefer Not To Say,NA,4,5,0,0
Local`,Local,Prefer Not To Say,NA,4,6,0,0
Local`,Local,Prefer Not To Say,NA,4,7,0,0
Local`,Local,Prefer Not To Say,NA,4,7,0,0
Local`,Local,Prefer Not To Say,NA,4,8,0,0
Local`,Local,Prefer Not To Say,NA,4,9,0,0
Local`,Local,Prefer Not To Say,NA,4,10,0,0
LocalUser,LocalUser@xyz.com,Male,1920,3,1,0,0
LocalUser,LocalUser@xyz.com,Male,1920,3,2,1,0
LocalUser,LocalUser@xyz.com,Male,1920,3,3,-1,0
LocalUser,LocalUser@xyz.com,Male,1920,3,4,-2,0
LocalUser,LocalUser@xyz.com,Male,1920,3,5,1,0
LocalUser,LocalUser@xyz.com,Male,1920,3,6,2,0
LocalUser,LocalUser@xyz.com,Male,1920,3,7,-3,0
LocalUser,LocalUser@xyz.com,Male,1920,3,8,-4,0
LocalUser,LocalUser@xyz.com,Male,1920,3,9,-3,0
LocalUser,LocalUser@xyz.com,Male,1920,3,10,-2,0
Matt,NA,Prefer Not To Say,1977,3,1,0,0
Matt,NA,Prefer Not To Say,1977,3,2,-1,0
Matt,NA,Prefer Not To Say,1977,3,3,0,0
Matt,NA,Prefer Not To Say,1977,3,4,-1,0
Matt,NA,Prefer Not To Say,1977,3,5,-2,0
Matt,NA,Prefer Not To Say,1977,3,6,-2,0
Matt,NA,Prefer Not To Say,1977,3,7,-1,0
Matt,NA,Prefer Not To Say,1977,3,8,-3,0
Matt,NA,Prefer Not To Say,1977,3,9,0,0
Matt,NA,Prefer Not To Say,1977,3,10,-4,0
test,test,Prefer Not To Say,"NA",3,1,0,0
test,test,Prefer Not To Say,"NA",3,2,0,0
test,test,Prefer Not To Say,"NA",3,3,0,0
test,test,Prefer Not To Say,"NA",3,4,0,0
test,test,Prefer Not To Say,"NA",3,5,0,0
test,test,Prefer Not To Say,"NA",3,6,0,0
test,test,Prefer Not To Say,"NA",3,7,0,0
test,test,Prefer Not To Say,"NA",3,8,0,0
test,test,Prefer Not To Say,"NA",3,9,0,0
test,test,Prefer Not To Say,"NA",3,10,0,0
